point,system,L-mode,L-Ordinate-N(Y),L-Abscissa-E(X),Rel-0-points,R-mode,R-Ordinate-N(Y),R-Abscissa-E(X)
, 地籍,轉換,95006.19090909090 ,75931.67636363640 ,, 轉換,94979.63454545450 ,76459.97454545450 
淡043,97,GPS,2765615.11200000000 ,293964.59200000000 ,81.25, 支距,2765524.37850000000 ,294507.48450000000 
,67,轉換,2765818.94800000000 ,293134.00000000000 ,, 轉換,2765728.23100000000 ,293676.89100000000 
, 地籍,轉換,94665.29818181820 ,75919.64909090910 ,, 轉換,94575.84000000000 ,76462.62181818180 
淡043A,97,GPS,2765367.58500000000 ,293959.10700000000 ,124.38, 支距,2765313.05350000000 ,294506.22950000000 
,67,轉換,2765571.42800000000 ,293128.51900000000 ,, 轉換,2765516.91000000000 ,293675.63900000000 
, 地籍,轉換,94417.77454545450 ,75914.73090909090 ,, 轉換,94364.53090909090 ,76461.84181818180 
淡044,97,GPS,2765253.75800000000 ,293956.73300000000 ,66.73, GPS,2764997.33100000000 ,294482.37300000000 
,67,轉換,2765457.60500000000 ,293126.14700000000 ,, 轉換,2765201.19100000000 ,293651.78600000000 
, 地籍,轉換,94303.95272727270 ,75912.61272727270 ,, 轉換,94048.78000000000 ,76438.69636363640 
淡045,97,GPS,2764604.75000000000 ,293922.16100000000 ,53.54, GPS,2764355.76700000000 ,294408.02400000000 
,67,轉換,2764808.61400000000 ,293091.58700000000 ,, 轉換,2764559.63000000000 ,293577.45500000000 
, 地籍,轉換,93654.93636363640 ,75879.51636363640 ,, 轉換,93407.10909090910 ,76365.82000000000 
淡046,97,GPS,2764023.16900000000 ,293686.27200000000 ,327.35, GPS,2763790.16900000000 ,294270.02500000000 
,67,轉換,2764227.03500000000 ,292855.72100000000 ,, 轉換,2763994.02500000000 ,293439.48000000000 
, 地籍,轉換,93072.84363636360 ,75645.02181818180 ,, 轉換,92841.22181818180 ,76229.14181818180 
淡047,97,GPS,2763665.54200000000 ,293404.17800000000 ,383.58, GPS,2763248.44200000000 ,294009.49000000000 
,67,轉換,2763869.36600000000 ,292573.67100000000 ,, 轉換,2763452.27500000000 ,293178.97900000000 
, 地籍,轉換,92714.60727272730 ,75363.80727272730 ,, 轉換,92298.94181818180 ,75969.88363636360 
淡047A,97,支距,2763645.37700000000 ,293383.94950000000 ,153.25, GPS,2763242.27500000000 ,293913.54100000000 
,67,轉換,2763849.19700000000 ,292553.44700000000 ,, 轉換,2763446.09700000000 ,293083.03900000000 
, 地籍,轉換,92694.39818181820 ,75343.62909090910 ,, 轉換,92292.55454545450 ,75873.97454545450 
淡048,97,GPS,2763281.54600000000 ,292998.95700000000 ,299.03, GPS,2762808.07400000000 ,293567.66200000000 
,67,轉換,2763485.20400000000 ,292168.57900000000 ,, 轉換,2763011.82800000000 ,292737.22200000000 
, 地籍,轉換,92329.72909090910 ,74959.55454545450 ,, 轉換,91857.58545454540 ,75529.15454545450 
淡049,97,GPS,2763006.99800000000 ,292625.68400000000 ,56.82, GPS,2762502.93400000000 ,293174.15800000000 
,67,轉換,2763210.33300000000 ,291795.53500000000 ,, 轉換,2762706.57900000000 ,292343.80100000000 
, 地籍,轉換,92054.36181818180 ,74586.99272727270 ,, 轉換,91551.54727272730 ,75136.42363636360 
淡050,97,GPS,2762753.94800000000 ,292227.60700000000 ,450.28, GPS,2762167.83500000000 ,292550.97100000000 
,67,轉換,2762957.36500000000 ,291397.40300000000 ,, 轉換,2762371.39600000000 ,291720.67100000000 
, 地籍,轉換,91800.32909090910 ,74189.55272727270 ,, 轉換,91214.98000000000 ,74514.10727272730 
淡051,97,GPS,2762529.11300000000 ,291548.55000000000 ,542.28, GPS,2761892.50900000000 ,291842.68600000000 
,67,轉換,2762732.71700000000 ,290718.22200000000 ,, 轉換,2762096.16300000000 ,291012.33400000000 
, 地籍,轉換,91573.83272727270 ,73511.11090909090 ,, 轉換,90937.96181818180 ,73806.55636363640 
淡052,97,GPS,2762408.66300000000 ,290588.12300000000 ,451.55, 支距,2761865.79550000000 ,290553.48400000000 
,67,轉換,2762612.42000000000 ,289757.71300000000 ,, 轉換,2762069.59800000000 ,289723.06600000000 
, 地籍,轉換,91451.11454545450 ,72551.11818181820 ,, 轉換,90908.21636363640 ,72517.65818181820 
淡053,97,GPS,2762400.09600000000 ,290200.57900000000 ,544.22, GPS,2761957.22200000000 ,290191.22600000000 
,67,轉換,2762603.87200000000 ,289370.16500000000 ,, 轉換,2762161.02400000000 ,289360.81100000000 
, 地籍,轉換,91441.66000000000 ,72163.65454545450 ,, 轉換,90998.80363636360 ,72155.26181818180 
淡053A,97,支距,2762287.70500000000 ,289782.84300000000 ,3.48, GPS,2761907.75000000000 ,289852.89000000000 
,67,轉換,2762491.48500000000 ,288952.44100000000 ,, 轉換,2762111.55400000000 ,289022.48200000000 
, 地籍,轉換,91328.32909090910 ,71746.22545454540 ,, 轉換,90948.56181818180 ,71817.08909090910 
淡054,97,GPS,2762312.85200000000 ,289411.01300000000 ,195.98, 支距,2761903.95550000000 ,289667.21200000000 
,67,轉換,2762516.61300000000 ,288580.63700000000 ,, 轉換,2762107.75600000000 ,288836.81100000000 
, 地籍,轉換,91352.63272727270 ,71374.39454545450 ,, 轉換,90944.34545454540 ,71631.44727272730 
淡055,97,GPS,2762103.07300000000 ,288839.20600000000 ,74.05, GPS,2761582.27800000000 ,289221.28100000000 
,67,轉換,2762306.79400000000 ,288008.89100000000 ,, 轉換,2761786.09000000000 ,288390.89000000000 
, 地籍,轉換,91141.57090909090 ,70803.13272727270 ,, 轉換,90621.67636363630 ,71186.28909090910 
淡056,97,GPS,2761808.29600000000 ,288369.12400000000 ,26.14, GPS,2761302.43100000000 ,288728.98600000000 
,67,轉換,2762011.99800000000 ,287538.87100000000 ,, 轉換,2761506.19600000000 ,287898.71200000000 
, 地籍,轉換,90845.74545454550 ,70333.76909090910 ,, 轉換,90340.73272727270 ,70694.68909090910 
淡057,97,GPS,2761456.71500000000 ,287935.42900000000 ,58.63, GPS,2761007.52100000000 ,288203.37500000000 
,67,轉換,2761660.42800000000 ,287105.22500000000 ,, 轉換,2761211.22200000000 ,287373.26300000000 
, 地籍,轉換,90493.20727272730 ,69900.91272727270 ,, 轉換,90044.65454545450 ,70169.80909090910 
淡058,97,GPS,2761216.63500000000 ,287377.53700000000 ,-40.68, GPS,2760565.77900000000 ,287834.08200000000 
,67,轉換,2761420.39800000000 ,286547.29500000000 ,, 轉換,2760769.46200000000 ,287004.04700000000 
, 地籍,轉換,90251.88363636360 ,69343.63272727270 ,, 轉換,89602.11454545450 ,69801.54909090910 
淡059,97,GPS,2761055.79200000000 ,287275.58400000000 ,66.31, GPS,2760702.33000000000 ,287476.75300000000 
,67,轉換,2761259.56600000000 ,286445.34100000000 ,, 轉換,2760906.07600000000 ,286646.58500000000 
, 地籍,轉換,90090.82363636360 ,69242.04909090910 ,, 轉換,89737.84727272730 ,69443.97090909090 
淡060,97,GPS,2760957.98900000000 ,287012.81500000000 ,52.07, GPS,2760496.80900000000 ,287237.35700000000 
,67,轉換,2761161.79200000000 ,286182.53000000000 ,, 轉換,2760700.58300000000 ,286407.14800000000 
, 地籍,轉換,89992.43272727270 ,68979.53636363640 ,, 轉換,89531.80181818180 ,69205.06727272730 
淡061,97,GPS,2760940.82900000000 ,286458.19700000000 ,79.65, GPS,2760181.44000000000 ,286799.83500000000 
,67,轉換,2761144.66000000000 ,285627.86100000000 ,, 轉換,2760385.27200000000 ,285969.52300000000 
, 地籍,轉換,89974.01818181820 ,68425.04000000000 ,, 轉換,89215.46909090910 ,68768.31272727270 
淡062,97,GPS,2760398.46400000000 ,286157.75100000000 ,339.77, GPS,2760002.87800000000 ,286404.09700000000 
,67,轉換,2760602.31000000000 ,285327.40500000000 ,, 轉換,2760206.73400000000 ,285573.74600000000 
, 地籍,轉換,89431.01818181820 ,68125.84363636360 ,, 轉換,89036.02545454550 ,68373.03272727270 
淡062A,97,支距,2759802.80200000000 ,285616.33600000000 ,0.14, 支距,2759355.75500000000 ,285927.44300000000 
,67,轉換,2760006.66100000000 ,284785.98100000000 ,, 轉換,2759559.62700000000 ,285097.08000000000 
, 地籍,轉換,88834.16545454540 ,67585.85636363640 ,, 轉換,88387.86000000000 ,67897.92181818180 
淡063,97,GPS,2759718.18500000000 ,285542.58000000000 ,389.15, GPS,2759233.62200000000 ,285823.48300000000 
,67,轉換,2759922.04600000000 ,284712.22500000000 ,, 轉換,2759437.49500000000 ,284993.12100000000 
, 地籍,轉換,88749.38181818180 ,67512.30727272730 ,, 轉換,88265.50000000000 ,67794.25272727270 
淡064,97,GPS,2759187.78700000000 ,285126.86100000000 ,233.24, GPS,2758646.58000000000 ,285447.51000000000 
,67,轉換,2759391.64800000000 ,284296.51500000000 ,, 轉換,2758850.46000000000 ,284617.15200000000 
, 地籍,轉換,88218.07272727270 ,67097.84909090910 ,, 轉換,87677.64909090910 ,67419.66181818180 
淡064A,97,GPS,2758644.63300000000 ,284971.22700000000 ,248.45, 支距,2758622.53300000000 ,285442.65700000000 
,67,轉換,2758848.50100000000 ,284140.87900000000 ,, 轉換,2758826.41300000000 ,284612.29900000000 
, 地籍,轉換,87674.61272727270 ,66943.46000000000 ,, 轉換,87653.59272727270 ,67414.86363636360 
淡065,97,GPS,2758433.28400000000 ,284712.38800000000 ,158.79, GPS,2758197.44400000000 ,284954.12100000000 
,67,轉換,2758637.15300000000 ,283882.03700000000 ,, 轉換,2758401.32300000000 ,284123.77300000000 
, 地籍,轉換,87462.68727272730 ,66685.14000000000 ,, 轉換,87227.42181818180 ,66927.36909090910 
淡066,97,GPS,2758075.91000000000 ,284144.10600000000 ,-54.18, 支距,2757648.13800000000 ,284279.59300000000 
,67,轉換,2758279.78000000000 ,283313.75800000000 ,, 轉換,2757852.02700000000 ,283449.25200000000 
, 地籍,轉換,87104.07272727270 ,66117.69454545450 ,, 轉換,86676.58727272730 ,66254.23818181820 
淡067,97,GPS,2758268.58900000000 ,283526.06200000000 ,-9.13, GPS,2757475.11500000000 ,283896.48300000000 
,67,轉換,2758472.44400000000 ,282695.70800000000 ,, 轉換,2757679.00600000000 ,283066.15200000000 
, 地籍,轉換,87295.33818181820 ,65499.25818181820 ,, 轉換,86502.55090909090 ,65871.82181818180 
淡068,97,GPS,2758557.36300000000 ,282930.99900000000 ,0, GPS,2757266.43900000000 ,283567.31800000000 
,67,轉換,2758761.20100000000 ,282100.66100000000 ,, 轉換,2757470.33800000000 ,282736.99700000000 
, 地籍,轉換,87582.72545454540 ,64903.63272727270 ,, 轉換,86293.14181818180 ,65543.18181818180 
淡069,97,GPS,2758035.76700000000 ,282371.88300000000 ,34.04, GPS,2756842.61200000000 ,283017.90600000000 
,67,轉換,2758239.63700000000 ,281541.56800000000 ,, 轉換,2757046.53200000000 ,282187.61300000000 
, 地籍,轉換,87059.88727272730 ,64345.78363636360 ,, 轉換,85868.08727272730 ,64994.82181818180 
淡070,97,GPS,2756955.95600000000 ,282240.15200000000 ,743.05, GPS,2756660.97600000000 ,282465.33300000000 
,67,轉換,2757159.88100000000 ,281409.87300000000 ,, 轉換,2756864.91000000000 ,281635.06000000000 
, 地籍,轉換,85979.62909090910 ,64216.90545454550 ,, 轉換,85685.18545454540 ,64442.73818181820 
淡071,97,GPS,2756588.10900000000 ,281958.58100000000 ,916.64, 支距,2756335.98750000000 ,282246.51400000000 
,67,轉換,2756792.05200000000 ,281128.32600000000 ,, 轉換,2756539.93700000000 ,281416.26200000000 
, 地籍,轉換,85611.15454545450 ,63936.22181818180 ,, 轉換,85359.71272727270 ,64224.69818181820 
淡072,97,GPS,2756077.89700000000 ,281670.20700000000 ,"1,281.13", 轉換,2755893.10800000000 ,281914.74800000000 
,67,轉換,2756281.86200000000 ,280839.98600000000 ,, 轉換,2756097.07600000000 ,281084.52600000000 
, 地籍,轉換,85100.30545454550 ,63649.06545454540 ,, 轉換,84916.09272727270 ,63893.99818181820 
淡073,97,GPS,2755850.44100000000 ,280885.59900000000 ,"1,218.26", 支距,2755439.24500000000 ,281354.19800000000 
,67,轉換,2756054.41300000000 ,280055.41600000000 ,, 轉換,2755643.21600000000 ,280524.01000000000 
, 地籍,轉換,84871.00181818180 ,62865.03454545450 ,, 轉換,84460.94727272730 ,63334.55818181820 
淡074,97,GPS,2755508.40600000000 ,280386.96000000000 ,916.27, 支距,2755120.89300000000 ,280782.74400000000 
,67,轉換,2755712.37700000000 ,279556.80500000000 ,, 轉換,2755324.84900000000 ,279952.57700000000 
, 地籍,轉換,84527.82727272730 ,62367.24545454550 ,, 轉換,84141.26727272730 ,62763.89454545450 
淡075,97,GPS,2755022.87400000000 ,279882.01900000000 ,560.04, GPS,2754688.20800000000 ,280455.48900000000 
,67,轉換,2755226.81000000000 ,279051.87700000000 ,, 轉換,2754892.15000000000 ,279625.38100000000 
, 地籍,轉換,84041.14909090910 ,61863.49090909090 ,, 轉換,83707.82181818180 ,62437.65818181820 
淡076,97,GPS,2754452.34100000000 ,279565.90600000000 ,238.51, GPS,2754268.38400000000 ,279828.04300000000 
,67,轉換,2754656.25400000000 ,278735.85700000000 ,, 轉換,2754472.31000000000 ,278997.99400000000 
, 地籍,轉換,83469.91090909090 ,61548.73818181820 ,, 轉換,83286.56545454540 ,61811.26363636360 
淡077,97,GPS,2754283.82600000000 ,279038.38300000000 ,-15.99, GPS,2753992.73900000000 ,279449.62500000000 
,67,轉換,2754487.72400000000 ,278208.35700000000 ,, 轉換,2754196.65900000000 ,278619.59700000000 
, 地籍,轉換,83300.18363636360 ,61021.67454545450 ,, 轉換,83010.05818181820 ,61433.53636363640 
淡078,97,GPS,2753745.39900000000 ,278593.55000000000 ,266.05, 支距,2753445.36650000000 ,279071.15750000000 
,67,轉換,2753949.29000000000 ,277763.55400000000 ,, 轉換,2753649.28700000000 ,278241.16300000000 
, 地籍,轉換,82760.74727272730 ,60578.14545454550 ,, 轉換,82461.83454545450 ,61056.38909090910 
淡078A,97,GPS,2753809.50700000000 ,278210.04000000000 ,-44.63, GPS,2753374.17700000000 ,278897.50000000000 
,67,轉換,2754013.38700000000 ,277380.03600000000 ,, 轉換,2753578.09400000000 ,278067.50600000000 
, 地籍,轉換,82823.99090909090 ,60194.56727272730 ,, 轉換,82390.24909090910 ,60882.92363636360 
淡078B,97,GPS,2753111.65000000000 ,278426.46900000000 ,0.94, 支距,2753030.67100000000 ,278742.65000000000 
,67,轉換,2753315.55000000000 ,277596.50200000000 ,, 轉換,2753234.59300000000 ,277912.66700000000 
, 地籍,轉換,82126.65636363640 ,60412.58545454540 ,, 轉換,82046.41454545450 ,60728.91636363640 
淡079,97,GPS,2752997.70900000000 ,278303.69500000000 ,-171.83, GPS,2752972.51000000000 ,278845.48300000000 
,67,轉換,2753201.61200000000 ,277473.71900000000 ,, 轉換,2753176.44400000000 ,278015.48800000000 
, 地籍,轉換,82012.44181818180 ,60290.10000000000 ,, 轉換,81988.49454545450 ,60831.87272727270 
淡080,97,GPS,2752478.38800000000 ,278183.25300000000 ,268.69, GPS,2752246.06300000000 ,278646.20700000000 
,67,轉換,2752682.31500000000 ,277353.26300000000 ,, 轉換,2752450.02100000000 ,277816.23600000000 
, 地籍,轉換,81492.86363636360 ,60170.87454545450 ,, 轉換,81261.61636363640 ,60634.30363636360 
淡080A,97,GPS,2752076.45800000000 ,277980.33100000000 ,43.33, 支距,2751803.15300000000 ,278356.44200000000 
,67,轉換,2752280.39000000000 ,277150.36200000000 ,, 轉換,2752007.11600000000 ,277526.49900000000 
, 地籍,轉換,81090.47818181820 ,59968.91454545450 ,, 轉換,80818.05090909090 ,60345.60545454540 
淡081,97,GPS,2751951.61600000000 ,277787.93100000000 ,154, GPS,2751594.74300000000 ,278449.82200000000 
,67,轉換,2752155.54200000000 ,276957.96400000000 ,, 轉換,2751798.72100000000 ,277619.89900000000 
, 地籍,轉換,80965.19636363640 ,59776.82909090910 ,, 轉換,80609.86363636360 ,60439.45636363640 
淡082,97,支距,2751499.90900000000 ,277178.41800000000 ,-1.03, GPS,2750995.61700000000 ,278144.71700000000 
,67,轉換,2751703.82000000000 ,276348.46100000000 ,, 轉換,2751199.61300000000 ,277314.83500000000 
, 地籍,轉換,80512.12000000000 ,59168.46363636360 ,, 轉換,80010.05090909090 ,60135.78909090910 
淡083,97,GPS,2750536.48600000000 ,277388.22700000000 ,698.27, GPS,2750088.56700000000 ,278261.30100000000 
,67,轉換,2750740.50100000000 ,276558.36700000000 ,, 轉換,2750292.65300000000 ,277431.53100000000 
, 地籍,轉換,79549.18727272730 ,59380.47454545450 ,, 轉換,79103.37818181820 ,60254.35090909090 
淡084,97,GPS,2750093.15300000000 ,277246.34700000000 ,633.71, GPS,2749756.11400000000 ,277915.18300000000 
,67,轉換,2750297.17000000000 ,276416.48700000000 ,, 轉換,2749960.19500000000 ,277085.41400000000 
, 地籍,轉換,79105.54000000000 ,59239.64727272730 ,, 轉換,78770.13636363640 ,59909.05818181820 
淡085,97,GPS,2749561.40900000000 ,276768.11500000000 ,472.92, GPS,2749173.36100000000 ,277671.89900000000 
,67,轉換,2749765.43700000000 ,275938.24200000000 ,, 轉換,2749377.48700000000 ,276842.17600000000 
, 地籍,轉換,78572.71090909090 ,58762.72181818180 ,, 轉換,78186.82545454550 ,59667.18000000000 
淡086,97,GPS,2748998.29100000000 ,276859.04000000000 ,859.85, GPS,2748693.05300000000 ,277429.13400000000 
,67,轉換,2749202.38700000000 ,276029.23400000000 ,, 轉換,2748897.21900000000 ,276599.44000000000 
, 地籍,轉換,78009.86545454540 ,58854.88181818180 ,, 轉換,77705.95272727270 ,59425.58363636360 
淡087,97,支距,2748476.44700000000 ,276331.88300000000 ,531.23, GPS,2748322.01000000000 ,276833.86700000000 
,67,轉換,2748680.57400000000 ,275502.03900000000 ,, 轉換,2748526.18700000000 ,276004.12100000000 
, 地籍,轉換,77486.82363636360 ,58329.03454545450 ,, 轉換,77333.54727272730 ,58831.28727272730 
淡088,97,GPS,2748250.29900000000 ,275795.84800000000 ,-0.03, GPS,2747838.83400000000 ,276611.16000000000 
,67,轉換,2748454.42200000000 ,274965.91700000000 ,, 轉換,2748043.06000000000 ,275781.41700000000 
, 地籍,轉換,77259.44000000000 ,57793.65272727270 ,, 轉換,76849.87090909090 ,58609.75636363640 
淡089,97,GPS,2747721.02500000000 ,275985.24700000000 ,264.42, GPS,2746937.16200000000 ,277212.31000000000 
,67,轉換,2747925.23000000000 ,275155.38000000000 ,, 轉換,2747141.53600000000 ,276382.78600000000 
, 地籍,轉換,76730.61636363640 ,57984.26000000000 ,, 轉換,75949.57272727270 ,59212.95272727270 
淡090,97,GPS,2747311.15900000000 ,275739.58900000000 ,473.60, 支距,2746484.55450000000 ,276711.44350000000 
,67,轉換,2747515.40700000000 ,274909.68100000000 ,, 轉換,2746688.95700000000 ,275881.82600000000 
, 地籍,轉換,76320.21818181820 ,57739.59272727270 ,, 轉換,75495.86181818180 ,58713.22727272730 
淡090A,97,支距,2746480.52150000000 ,275470.25450000000 ,-14.68, GPS,2746159.47800000000 ,275944.39500000000 
,67,轉換,2746684.87200000000 ,274640.29400000000 ,, 轉換,2746363.88800000000 ,275114.58000000000 
, 地籍,轉換,75489.02545454550 ,57472.23818181820 ,, 轉換,75169.07818181820 ,57947.06000000000 